contentid,title,contenttypeid,areacode,sigungucode,cat1,cat2,cat3,mapx,mapy,addr1,lDongRegnCd,lDongSignguCd
2735607,금란정,12,32,3,A02,A0201,A02010700,129.0213282758,37.4638515626,강원특별자치도 동해시 삼화동,51,170
2704788,소이산,12,32,12,A01,A0101,A01010400,127.1884152382,38.2546583535,강원특별자치도 철원군 철원읍 사요리,51,780
126777,초도해변,12,32,2,A01,A0101,A01011200,128.4315053296,38.4897099352,강원특별자치도 고성군 현내면 초도항길,51,820
2569384,두타연 평화누리길,12,32,6,A02,A0201,A02011000,127.9835710384,38.2269042350,강원특별자치도 양구군 방산면,51,800
2710638,설해원,12,32,7,A02,A0202,A02020200,128.6622951259,38.0562399281,강원특별자치도 양양군 손양면 공항로 230,51,830
126714,한화리조트 설악 워터피아,12,32,5,A02,A0202,A02020600,128.5287330073,38.2101972051,강원특별자치도 속초시 미시령로2983번길 111 (장사동),51,210
125591,오대산국립공원,12,32,15,A01,A0101,A01010100,128.6021975495,37.7029269542,강원특별자치도 평창군 진부면 오대산로 2,51,760
136088,신세계센트럴시티 영랑호리조트,12,32,5,A02,A0202,A02020200,128.5774062562,38.2136005323,강원특별자치도 속초시 영랑호반길 170 (금호동),51,210
2993377,행복&피크닉,12,32,9,A02,A0203,A02030400,127.9009945067,37.3177165742,강원특별자치도 원주시 복거리길 40,51,130
125590,태백산 국립공원,12,32,14,A01,A0101,A01010100,128.9882796730,37.1493704243,강원특별자치도 태백시 번영로 59 (황지동),51,190
2798965,고랭길,12,32,15,A01,A0101,A01010500,128.3362530327,37.5802666171,강원특별자치도 평창군 봉평면 태기로 254-1,51,760
2798876,[효석문학100리길 5-1코스] 마을길따라 노산가는 길,12,32,15,A02,A0203,A02030100,128.3883125413,37.3838430756,강원특별자치도 평창군 평창읍 후평길 124,51,760
1857095,강원 영월 김삿갓면 [슬로시티],12,32,8,A02,A0201,A02010600,128.5698983480,37.1256151474,강원특별자치도 영월군 김삿갓면 옥동장터길 36,51,750
125713,망상해변,12,32,3,A01,A0101,A01011200,129.0896709728,37.5922686461,강원특별자치도 동해시 동해대로 6270-10,51,170
129006,섬강(섬강유원지),12,32,18,A01,A0101,A01011800,127.9753160896,37.4900397022,강원특별자치도 횡성군 횡성읍 문예로 75,51,730
125735,강재구공원,12,32,16,A02,A0202,A02020700,127.8684937219,37.7285545094,강원특별자치도 홍천군 북방면 성동로 275,51,720
125745,홍천강,12,32,16,A01,A0101,A01011800,127.7131451142,37.6885868106,강원특별자치도 홍천군 서면 팔봉강변길,51,720
129386,삼척 가시오가피마을,12,32,4,A02,A0203,A02030100,129.1792785089,37.2665995552,강원특별자치도 삼척시 노곡면 문의재로 2470,51,230
987582,속초항,12,32,5,A01,A0101,A01011400,128.5941826553,38.2089236252,강원특별자치도 속초시 동명동 속초항,51,210
585615,도직해변,12,32,1,A01,A0101,A01011200,129.0676585323,37.6093412454,강원특별자치도 강릉시 옥계면 도직리,51,150
250380,양양 진전사지 도의선사탑,12,32,7,A02,A0205,A02050200,128.5455230782,38.1232243188,강원특별자치도 양양군 강현면 화채봉길 368,51,830
127827,덕가산,12,32,8,A01,A0101,A01010400,128.5611214679,37.1218515249,강원특별자치도 영월군 김삿갓면 영월동로 1547,51,750
126778,대진1리해변,12,32,2,A01,A0101,A01011200,128.4236806136,38.5033887400,강원특별자치도 고성군 현내면 한나루로4길 1,51,820
125718,노봉해변,12,32,3,A01,A0101,A01011200,129.1014311557,37.5881665717,강원특별자치도 동해시 망상동,51,170
125595,청옥산(평창),12,32,15,A01,A0101,A01010400,128.5076704504,37.4106200313,강원특별자치도 평창군 미탄면 백운리,51,760
2814180,속초해수욕장 대관람차(속초아이),12,32,5,A02,A0203,A02030400,128.6027491115,38.1907759041,강원특별자치도 속초시 청호해안길 2,51,210
2814485,원주 소금산 울렁다리,12,32,9,A02,A0203,A02030400,127.8216364054,37.3651151824,강원특별자치도 원주시 지정면 소금산길 165-1,51,130
2616559,화천 백립암복합체 (강원평화지역 국가지질공원),12,32,17,A01,A0101,A01010500,127.8219314688,38.1865586624,강원특별자치도 화천군 화천읍 동촌리,51,790
128752,요선정·요선암,12,32,8,A02,A0201,A02010700,128.2619792382,37.2976367451,강원특별자치도 영월군 무릉도원면 도원운학로 13-39,51,750
2616104,요선암 돌개구멍 (강원고생대 국가지질공원),12,32,8,A01,A0101,A01010500,128.2618959214,37.2973367787,강원특별자치도 영월군 무릉도원면 도원운학로 13-39,51,750
127873,백도해변,12,32,2,A01,A0101,A01011200,128.5468480485,38.2983733969,강원특별자치도 고성군 죽왕면 백도해변길 78,51,820
125688,한재밑해변,12,32,4,A01,A0101,A01011200,129.2050024313,37.4080671263,강원특별자치도 삼척시 근덕면,51,230
251738,아바이마을,12,32,5,A02,A0203,A02030100,128.5949161776,38.2007412589,강원특별자치도 속초시 청호로 122-1,51,210
3041283,동명항 포장마차 거리,12,32,5,A02,A0203,A02030600,128.5973766236,38.2148757724,강원특별자치도 속초시 영랑해안1길 13 (영랑동),51,210
2994116,가곡유황온천&스파,12,32,4,A02,A0202,A02020300,129.2064490523,37.1509022547,강원특별자치도 삼척시 가곡면 가곡천로 1510,51,230
2988365,바람마을 치즈체험장,12,32,15,A02,A0203,A02030100,128.7132824331,37.6880197102,강원특별자치도 평창군 대관령면 꽃밭양지길 174,51,760
2514834,"죽정분교(구,죽정초등학교)",12,32,2,A02,A0203,A02030400,128.4197681178,38.4704730657,강원특별자치도 고성군 현내면 모정2길 2,51,820
1993698,삼척 맹방유채꽃 마을,12,32,4,A02,A0203,A02030100,129.2118103797,37.4007736537,강원특별자치도 삼척시 근덕면 삼척로 3916-112,51,230
129259,태종대(횡성),12,32,18,A02,A0201,A02010700,128.1091803059,37.3513443471,강원특별자치도 횡성군 강림면 태종로 287,51,730
137809,한화리조트 설악,12,32,5,A02,A0202,A02020200,128.5288163471,38.2097417044,강원특별자치도 속초시 미시령로2983번길 111,51,210
2704983,홍천동키마을,12,32,16,A02,A0203,A02030100,127.9579710653,37.7504147597,강원특별자치도 홍천군 화촌면 구룡령로 149,51,720
2713569,원주옻칠기공예관,12,32,9,A02,A0203,A02030200,128.0561912050,37.4266374350,강원특별자치도 원주시 소초면 구룡사로 142,51,130
2702483,비두리 귀부 및 이수,12,32,9,A02,A0201,A02010700,127.8351939150,37.2554364367,강원특별자치도 원주시 문막읍 귀문로 1008,51,130
128288,명주사(양양),12,32,7,A02,A0201,A02010800,128.6806218026,37.9487083240,강원특별자치도 양양군 현북면 어성전길 93-229,51,830
125640,동활계곡,12,32,4,A01,A0101,A01010900,129.1290670175,37.1523839142,강원특별자치도 삼척시 가곡면 가곡천로,51,230
2782911,응봉,12,32,2,A01,A0101,A01010400,128.4463213907,38.4659741075,강원특별자치도 고성군 거진읍 화진포길 204-25,51,820
127844,기우산(정선),12,32,11,A01,A0101,A01010400,128.6731377641,37.3564822114,강원특별자치도 정선군 정선읍 신월리,51,770
2753136,노암터널,12,32,1,A02,A0205,A02050500,128.9071992254,37.7481081912,강원특별자치도 강릉시 노암동 200-4,51,150
127922,오대산 소금강계곡,12,32,1,A01,A0101,A01010900,128.6576247467,37.8306548995,강원특별자치도 강릉시 연곡면 삼산리,51,150
127843,조양산(정선),12,32,11,A01,A0101,A01010400,128.6539110882,37.3772350070,강원특별자치도 정선군 정선읍 용담길 102-22,51,770
128171,고성 통일전망타워,12,32,2,A02,A0205,A02050600,128.4173974953,38.5147706205,강원특별자치도 고성군 현내면 금강산로 481,51,820
127449,진부령 흘리마을,12,32,2,A02,A0203,A02030100,128.3741425923,38.2648711759,강원특별자치도 고성군 간성읍 흘리길 185,51,820
