baseYm,areaCd,areaNm,signguCd,signguNm,tAtsCd,tAtsNm,rlteTatsCd,rlteTatsNm,rlteRegnCd,rlteRegnNm,rlteSignguCd,rlteSignguNm,rlteCtgryLclsNm,rlteCtgryMclsNm,rlteCtgrySclsNm,rlteRank
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,d6dc86e69c840d73ff5067a11c789691,자갈치시장,26,부산광역시,26110,중구,관광지,쇼핑,시장,1
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,23322e28bac2158412abd7bb0c7c4229,부산항국제여객터미널,26,부산광역시,26170,동구,관광지,기타관광,교통시설,2
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,ee12180b414809f548f4ce8d7013b43a,코오롱씨클라우드호텔,26,부산광역시,26350,해운대구,숙박,숙박,호텔,3
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,89c6c48d2629676d4620cca807c53ce8,차이나타운,26,부산광역시,26170,동구,관광지,문화관광,테마공원,4
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,b9dab70a4eac8268531bbd26c0ac30aa,감천문화마을,26,부산광역시,26380,사하구,관광지,기타관광,기타관광,5
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,b4c94d6af3a4e36f6458d4ae7a1dbae1,용두산공원,26,부산광역시,26110,중구,관광지,문화관광,도시공원,6
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,4851287f81cca59620e3d6723a29d698,다이아몬드타워,26,부산광역시,26110,중구,관광지,문화관광,랜드마크관광,7
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,b9772199f0e3db266edf35f0520d616e,아르떼뮤지엄/부산,26,부산광역시,26200,영도구,관광지,문화관광,전시시설,8
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,eaa81702d59cd45f8d10062010b96f21,코모도호텔/부산,26,부산광역시,26110,중구,숙박,숙박,호텔,9
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,b175902d3cb99348a4864f63588f9c77,부평깡통시장,26,부산광역시,26110,중구,관광지,쇼핑,시장,10
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,af03ef734b93e4c28b68955a5a130dbf,런닝맨/부산점,26,부산광역시,26230,부산진구,관광지,문화관광,테마공원,11
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,e34f03723ed6ac362c2c065e1cfee197,해운대센텀호텔,26,부산광역시,26350,해운대구,숙박,숙박,호텔,12
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,4773f998781b90f3b157428b958b962b,그랜드조선/부산,26,부산광역시,26350,해운대구,숙박,숙박,호텔,13
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,260407cb635612f7f216d066c82a2627,맥도날드/달맞이DT점,26,부산광역시,26350,해운대구,음식,음식,간이음식,14
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,430f55069ccce34d3fe9358693a6740a,쌍둥이돼지국밥/본점,26,부산광역시,26290,남구,음식,음식,한식,15
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,db3f7caf68d28124d5b5d654de5ebe2a,엠유,26,부산광역시,26110,중구,숙박,숙박,호텔,16
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,3de5cc53f2870f717ae81455c66b9ade,언양닭칼국수/센텀점,26,부산광역시,26350,해운대구,음식,음식,한식,17
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,5938262c1a40bb1e424180bc8a3d0d55,닥밭골벽화마을,26,부산광역시,26140,서구,관광지,기타관광,기타관광,18
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,c508bf04e756981369cedde14d39dcac,김가네가야밀면,26,부산광역시,26440,강서구,음식,음식,한식,19
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,18f4ac344eec8718342b73f4f5294aef,롯데리아/부산비프광장점,26,부산광역시,26110,중구,음식,음식,간이음식,20
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,8c1c1bfc8a2750310c5d1d0695ef74eb,피아크카페앤베이커리,26,부산광역시,26200,영도구,음식,음식,카페/찻집,21
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,bc8e257824b2a8ff287f1555e28407d4,한화리조트/해운대,26,부산광역시,26350,해운대구,숙박,숙박,콘도미니엄,22
202504,26,부산광역시,26110,중구,8d9967059a6a10be7bbcb1d539f36264,BIFF광장,3d45ad215dada248993ceafdc0d46e42,토요코인호텔/부산역1호점,26,부산광역시,26170,동구,숙박,숙박,호텔,23
