level,areaCode,regionCode,regionNm,baseYmd,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum
sigungu,11,11110,종로구,20240101,1,월요일,1,현지인(a),98007.0
sigungu,11,11110,종로구,20240101,1,월요일,2,외지인(b),302837.5
sigungu,11,11110,종로구,20240101,1,월요일,3,외국인(c),32906.72000000001
sigungu,11,11140,중구,20240101,1,월요일,1,현지인(a),76181.0
sigungu,11,11140,중구,20240101,1,월요일,2,외지인(b),283633.0
sigungu,11,11140,중구,20240101,1,월요일,3,외국인(c),62900.04
sigungu,11,11170,용산구,20240101,1,월요일,1,현지인(a),124316.5
sigungu,11,11170,용산구,20240101,1,월요일,2,외지인(b),234496.5
sigungu,11,11170,용산구,20240101,1,월요일,3,외국인(c),21638.569999999996
sigungu,11,11200,성동구,20240101,1,월요일,1,현지인(a),108013.5
sigungu,11,11200,성동구,20240101,1,월요일,2,외지인(b),119406.0
sigungu,11,11200,성동구,20240101,1,월요일,3,외국인(c),7378.880000000001
sigungu,11,11215,광진구,20240101,1,월요일,1,현지인(a),184555.0
sigungu,11,11215,광진구,20240101,1,월요일,2,외지인(b),176165.5
sigungu,11,11215,광진구,20240101,1,월요일,3,외국인(c),3882.1200000000003
sigungu,11,11230,동대문구,20240101,1,월요일,1,현지인(a),145250.0
sigungu,11,11230,동대문구,20240101,1,월요일,2,외지인(b),108496.5
sigungu,11,11230,동대문구,20240101,1,월요일,3,외국인(c),3844.1700000000005
sigungu,11,11260,중랑구,20240101,1,월요일,1,현지인(a),165126.5
sigungu,11,11260,중랑구,20240101,1,월요일,2,외지인(b),89110.0
sigungu,11,11260,중랑구,20240101,1,월요일,3,외국인(c),992.2499999999999
sigungu,11,11290,성북구,20240101,1,월요일,1,현지인(a),199790.5
sigungu,11,11290,성북구,20240101,1,월요일,2,외지인(b),119066.5
sigungu,11,11290,성북구,20240101,1,월요일,3,외국인(c),2575.0699999999993
sigungu,11,11305,강북구,20240101,1,월요일,1,현지인(a),119707.0
sigungu,11,11305,강북구,20240101,1,월요일,2,외지인(b),96565.0
sigungu,11,11305,강북구,20240101,1,월요일,3,외국인(c),1101.73
sigungu,11,11320,도봉구,20240101,1,월요일,1,현지인(a),115171.0
sigungu,11,11320,도봉구,20240101,1,월요일,2,외지인(b),81917.5
sigungu,11,11320,도봉구,20240101,1,월요일,3,외국인(c),563.5899999999999
sigungu,11,11350,노원구,20240101,1,월요일,1,현지인(a),273787.5
sigungu,11,11350,노원구,20240101,1,월요일,2,외지인(b),144851.0
sigungu,11,11350,노원구,20240101,1,월요일,3,외국인(c),830.7099999999999
sigungu,11,11380,은평구,20240101,1,월요일,1,현지인(a),163264.5
sigungu,11,11380,은평구,20240101,1,월요일,2,외지인(b),104450.5
sigungu,11,11380,은평구,20240101,1,월요일,3,외국인(c),1812.9399999999998
sigungu,11,11410,서대문구,20240101,1,월요일,1,현지인(a),132048.0
sigungu,11,11410,서대문구,20240101,1,월요일,2,외지인(b),154476.0
sigungu,11,11410,서대문구,20240101,1,월요일,3,외국인(c),9216.79
sigungu,11,11440,마포구,20240101,1,월요일,1,현지인(a),209363.0
sigungu,11,11440,마포구,20240101,1,월요일,2,외지인(b),266535.5
sigungu,11,11440,마포구,20240101,1,월요일,3,외국인(c),31077.289999999997
sigungu,11,11470,양천구,20240101,1,월요일,1,현지인(a),149576.0
sigungu,11,11470,양천구,20240101,1,월요일,2,외지인(b),88949.0
sigungu,11,11470,양천구,20240101,1,월요일,3,외국인(c),1415.6299999999999
sigungu,11,11500,강서구,20240101,1,월요일,1,현지인(a),197928.5
sigungu,11,11500,강서구,20240101,1,월요일,2,외지인(b),194092.5
sigungu,11,11500,강서구,20240101,1,월요일,3,외국인(c),8423.569999999998
sigungu,11,11530,구로구,20240101,1,월요일,1,현지인(a),156051.0
sigungu,11,11530,구로구,20240101,1,월요일,2,외지인(b),134589.0
